"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EGR3",4.1315495598241e-186,3.55614220121302,0.139,0.17,1.23946486794723e-182
"EGR2",2.82570958000901e-181,3.26867069793109,0.22,0.314,8.47712874002703e-178
"WDHD1",1.50448923520286e-172,1.22859935205613,0.273,0.408,4.51346770560858e-169
"LOC106997205",1.44406818318302e-170,4.10669410368844,0.381,0.534,4.33220454954906e-167
"TRIM9",5.23027320691238e-164,4.45674815259721,0.185,0.244,1.56908196207371e-160
"SOX4",2.14658593627002e-163,2.41781609834427,0.189,0.294,6.43975780881007e-160
"LOC106993842",4.67081945473193e-157,7.57129143419833,0.262,0.396,1.40124583641958e-153
"NR4A1",1.80720938198353e-156,6.85918716857342,0.167,0.234,5.42162814595059e-153
"IFIT3",2.62789371371298e-153,4.01447784673972,0.267,0.375,7.88368114113895e-150
"LCA5",1.61688533787805e-149,8.20810897401451,0.299,0.421,4.85065601363415e-146
"LOC106997781",2.29283790952704e-148,7.31327431106425,0.185,0.278,6.87851372858113e-145
"LOC107000766",3.45525382330784e-148,2.27279995267086,0.277,0.407,1.03657614699235e-144
"HMCES",3.82050928431844e-144,4.08829794495594,0.24,0.323,1.14615278529553e-140
"NR1D1",7.14759534709156e-144,0.89363806260279,0.331,0.464,2.14427860412747e-140
"ITGB3BP",9.45970274773026e-143,4.31609946965692,0.296,0.413,2.83791082431908e-139
"NUP37",1.31168651096554e-141,4.10664872880706,0.309,0.418,3.93505953289662e-138
"CEP97",1.22751543395223e-140,2.57469942163651,0.293,0.429,3.6825463018567e-137
"ASB2",1.82043262611831e-139,5.38053180773275,0.274,0.369,5.46129787835493e-136
"SPRED1",2.2633563182501e-135,1.83726541889865,0.155,0.203,6.79006895475029e-132
"KCTD3",2.65477616028107e-133,2.85159354238089,0.283,0.396,7.9643284808432e-130
"ZNF775",4.70144929877427e-133,4.20843524382173,0.303,0.427,1.41043478963228e-129
"USP18",8.77962780778981e-133,5.2150420864605,0.278,0.361,2.63388834233694e-129
"SPDYA",9.06103029646455e-133,7.81941777530648,0.302,0.435,2.71830908893937e-129
"PDIA4",1.79513713500286e-132,1.04318305630493,0.271,0.37,5.38541140500857e-129
"HCST",2.80980712315333e-132,3.69202678749094,0.304,0.445,8.42942136945999e-129
"IRS1",3.73080565865054e-131,3.2122504836949,0.287,0.417,1.11924169759516e-127
"POP1",6.0625511586813e-131,3.12676367131141,0.259,0.373,1.81876534760439e-127
"DHRS7",1.74995470091915e-130,-1.10406960059488,0.341,0.458,5.24986410275744e-127
"GNAL",2.58223042906735e-130,3.96571040425043,0.333,0.468,7.74669128720205e-127
"NDUFB6",2.69823292881819e-130,6.29039217064867,0.267,0.403,8.09469878645456e-127
"ZNF711",2.89491721105471e-130,2.03823978376878,0.296,0.409,8.68475163316413e-127
"BAIAP2",1.12752194705538e-129,3.45412753138696,0.205,0.317,3.38256584116613e-126
"EOMES",1.4223173758878e-129,2.82081790862165,0.169,0.211,4.2669521276634e-126
"STX3",1.60642106134932e-129,3.75859709155539,0.21,0.269,4.81926318404796e-126
"ADI1",1.89282792960892e-129,4.78627300632154,0.238,0.362,5.67848378882677e-126
"LOC697977",4.86687823421257e-129,4.75538398064914,0.241,0.334,1.46006347026377e-125
"TSTD3",5.24473343500918e-129,4.86528280520003,0.347,0.471,1.57342003050275e-125
"PKNOX2",3.01669537501491e-128,7.56103939302421,0.231,0.319,9.05008612504473e-125
"ZGRF1",1.68146963031723e-124,3.85109491306386,0.276,0.387,5.04440889095169e-121
"LOC114675108",1.30517051570312e-121,4.86084204450563,0.33,0.456,3.91551154710937e-118
"MEF2B",1.82153300162339e-121,2.56872902572473,0.249,0.323,5.46459900487017e-118
"LOC106992658",2.09698156655107e-121,3.45032963223987,0.273,0.377,6.29094469965323e-118
"CISD1",2.63621369363819e-121,6.60870526924625,0.295,0.425,7.90864108091456e-118
"LOC106997776",9.4958582406463e-121,3.97569045001536,0.316,0.431,2.84875747219389e-117
"LOC114677671",1.56703786768462e-120,5.44859457040834,0.272,0.384,4.70111360305386e-117
"LRRC27",1.96017272617327e-120,5.63444364092513,0.324,0.441,5.88051817851981e-117
"CAB39L",5.59018597038476e-120,5.16275126211466,0.255,0.341,1.67705579111543e-116
"SMYD2",1.23325424841097e-119,0.73188202389552,0.268,0.373,3.69976274523292e-116
"ABHD10",5.75605954712257e-118,7.12102216177433,0.307,0.42,1.72681786413677e-114
"ABHD5",9.35563848324057e-118,1.44194584453203,0.297,0.435,2.80669154497217e-114
"ZNF571",1.19336141317423e-117,2.0057654049377,0.319,0.43,3.58008423952268e-114
"LIN9",2.2155858748736e-117,4.22595823669057,0.268,0.369,6.64675762462081e-114
"RNF157",2.41722911973386e-117,4.10226715819653,0.245,0.333,7.25168735920159e-114
"C4H6orf203",4.82870531904326e-117,4.11104548985183,0.364,0.495,1.44861159571298e-113
"CLPP",1.34524739698128e-116,0.47850927309505,0.298,0.432,4.03574219094383e-113
"LRRC49",5.08695157702749e-116,3.74741246897421,0.269,0.329,1.52608547310825e-112
"SYNPO",8.05377484076779e-116,5.8110208652363,0.164,0.211,2.41613245223034e-112
"STMN1",1.04187497251426e-115,1.36094758475837,0.275,0.374,3.12562491754277e-112
"LOC114676301",4.82611195721787e-115,5.76870273332834,0.31,0.435,1.44783358716536e-111
"PLAGL1",1.41911436927699e-114,4.76284081761462,0.287,0.357,4.25734310783098e-111
"SPRED2",8.63557924084886e-114,7.30074208472749,0.274,0.338,2.59067377225466e-110
"C14H11orf65",2.99702094573815e-113,1.74020544733822,0.272,0.364,8.99106283721446e-110
"ATAD5",3.08168000108922e-113,3.75819501967353,0.23,0.308,9.24504000326767e-110
"NADK2",4.2503667910299e-113,3.11104977960554,0.351,0.463,1.27511003730897e-109
"NMRK1",4.9016547876106e-113,0.713717980423333,0.25,0.338,1.47049643628318e-109
"SHMT1",5.28703056826625e-113,4.59052845250849,0.306,0.411,1.58610917047988e-109
"RIBC1",6.69948745039472e-113,5.06377519017474,0.309,0.437,2.00984623511842e-109
"SLX4",1.06357836562693e-112,1.19150790324466,0.298,0.394,3.1907350968808e-109
"HERPUD1",1.26108466175646e-112,0.991697902242329,0.216,0.254,3.78325398526938e-109
"MCTP1",6.13676225154975e-112,3.51578596648486,0.263,0.33,1.84102867546493e-108
"LOC106999761",7.36575515966758e-112,2.67192585947521,0.301,0.406,2.20972654790027e-108
"MAP3K13",1.90135964402146e-111,3.95264267306305,0.26,0.363,5.70407893206438e-108
"NEIL1",2.54341055997788e-111,1.67024504079352,0.111,0.137,7.63023167993363e-108
"SDK1",2.91277859233321e-111,3.85926342077127,0.289,0.367,8.73833577699962e-108
"SOBP",4.51706276343502e-111,4.35715528172424,0.19,0.264,1.35511882903051e-107
"GPR171",5.48382655201739e-111,4.05651857431499,0.366,0.499,1.64514796560522e-107
"HOOK1",9.46449402559178e-111,4.50310960732456,0.277,0.378,2.83934820767753e-107
"APLF",1.34276375093163e-110,2.05441630315505,0.264,0.374,4.0282912527949e-107
"LOC106999271",2.22316315509166e-110,6.6748575007504,0.301,0.403,6.66948946527499e-107
"TIGAR",2.98939768461125e-110,3.91153851515581,0.295,0.411,8.96819305383376e-107
"LTA4H",4.08791487374581e-110,1.66735897605729,0.331,0.434,1.22637446212374e-106
"PIGH",5.62974226931817e-110,2.92189634979546,0.299,0.418,1.68892268079545e-106
"LOC114670883",5.87585274730826e-110,4.82641370830778,0.322,0.437,1.76275582419248e-106
"ANKS6",2.34325924583041e-109,6.8763251615574,0.241,0.33,7.02977773749123e-106
"HIKESHI",2.50658670056125e-109,3.23470397581909,0.296,0.407,7.51976010168375e-106
"TMEM173",4.4937718224827e-109,4.37402859872899,0.26,0.347,1.34813154674481e-105
"DTL",4.53164678858536e-109,4.07631370439203,0.232,0.316,1.35949403657561e-105
"LOC114678832",6.54336941160191e-109,3.28759170968632,0.282,0.395,1.96301082348057e-105
"IRAK1BP1",8.84499622425803e-109,5.05431343886065,0.325,0.456,2.65349886727741e-105
"APIP",1.87713606430895e-108,1.63581177454026,0.27,0.363,5.63140819292686e-105
"FAM149B1",1.031544636145e-107,6.7635763776449,0.323,0.45,3.094633908435e-104
"JAM3",1.11957787329083e-107,6.25208281233663,0.216,0.306,3.3587336198725e-104
"LOC107000608",1.22216700982922e-107,-2.89472228270686,0.273,0.375,3.66650102948766e-104
"ZBTB26",1.23804916523501e-107,6.97635660058117,0.291,0.415,3.71414749570502e-104
"GCFC2",1.27296201745706e-107,2.88190707998421,0.295,0.404,3.81888605237119e-104
"PNP",1.42701119336754e-107,4.62483517164275,0.275,0.355,4.28103358010261e-104
"LOC114672574",2.81917648844935e-107,2.55370223485208,0.261,0.363,8.45752946534805e-104
"MIS18BP1",7.09071740928979e-107,2.39622879143727,0.239,0.293,2.12721522278694e-103
"LARP1B",5.06458869166076e-106,2.40275811099949,0.232,0.307,1.51937660749823e-102
"FBXO32",6.18156839427948e-106,4.3666600618001,0.373,0.518,1.85447051828384e-102
"MX1",1.4656062315651e-105,2.74911489974017,0.186,0.204,4.39681869469531e-102
"STPG4",2.70038539235467e-105,1.4799938530221,0.225,0.317,8.10115617706402e-102
"MRRF",3.28615124452713e-105,2.55179970316136,0.295,0.391,9.85845373358138e-102
"DHX32",5.28446423206617e-105,2.81917685580394,0.263,0.387,1.58533926961985e-101
"GPD1L",5.96987958063749e-105,2.60965672594861,0.318,0.429,1.79096387419125e-101
"ITGAV",6.07729347358187e-105,2.89599103495879,0.315,0.399,1.82318804207456e-101
"MYOM1",6.46285926220408e-105,5.45806540970568,0.259,0.354,1.93885777866123e-101
"KCNK5",7.6601255852127e-105,4.55901206642966,0.292,0.36,2.29803767556381e-101
"SIRT4",7.69575471438586e-105,3.9041941369172,0.277,0.392,2.30872641431576e-101
"ST3GAL5",1.54286479757973e-104,7.97969078379951,0.199,0.231,4.62859439273918e-101
"TMEM65",1.93936757156942e-104,2.71218545078056,0.348,0.464,5.81810271470827e-101
"LOC114669793",4.2650651279587e-104,2.16398824520884,0.269,0.391,1.27951953838761e-100
"ALG14",7.00199663011864e-104,1.6618781876519,0.325,0.425,2.10059898903559e-100
"UBTD2",7.36537609118407e-104,3.70088192627595,0.253,0.336,2.20961282735522e-100
"PEMT",1.09983491391634e-103,4.65366389056183,0.277,0.377,3.29950474174903e-100
"HIST1H1D",2.63859848247951e-103,4.46896663520275,0.193,0.253,7.91579544743852e-100
"TOMM34",2.72590829544302e-103,3.07778656840345,0.291,0.404,8.17772488632905e-100
"CHST15",2.84781523669674e-103,3.62639138840926,0.242,0.282,8.54344571009023e-100
"CROT",3.6316233133859e-103,2.7447254948628,0.354,0.469,1.08948699401577e-99
"NUPR2",6.15117612384585e-103,2.85646880636853,0.231,0.291,1.84535283715375e-99
"CENPE",7.68954915288939e-103,2.82827217581809,0.172,0.212,2.30686474586682e-99
"AGPAT4",8.45136710480087e-103,1.14679981017493,0.29,0.382,2.53541013144026e-99
"SMS",1.00482671800013e-102,1.45554973883768,0.26,0.339,3.01448015400038e-99
"POLG2",2.60797257247694e-102,6.09993554179288,0.285,0.393,7.82391771743081e-99
"CENPP",3.79185412920494e-102,2.4380103106576,0.087,0.124,1.13755623876148e-98
"EPB41L5",7.38655452415383e-102,3.88481825606201,0.352,0.462,2.21596635724615e-98
"LOC106997006",1.06619878561275e-101,3.18954023233326,0.26,0.368,3.19859635683826e-98
"ETFDH",1.14911212709573e-101,0.530450669807663,0.281,0.393,3.44733638128718e-98
"LOC114671388",1.86836184153026e-101,6.17291097871986,0.361,0.486,5.60508552459077e-98
"IFI6",2.29487255980996e-101,4.24566690942928,0.243,0.31,6.88461767942989e-98
"LOC106992676",2.67793538986822e-101,2.08079132062919,0.263,0.357,8.03380616960467e-98
"CCT6B",6.97575277460291e-101,3.91093956237628,0.301,0.432,2.09272583238087e-97
"MIR155HG",7.71610885310101e-101,4.8163023340969,0.254,0.327,2.3148326559303e-97
"THRA",9.37627413368409e-101,1.26102507395145,0.288,0.395,2.81288224010523e-97
"LOC698693",1.19136401054583e-100,5.43446425944922,0.274,0.397,3.57409203163748e-97
"LOC106995194",1.41994830934019e-100,2.27010177192548,0.252,0.317,4.25984492802056e-97
"ZCCHC18",2.13833024086191e-100,5.63636073153384,0.381,0.525,6.41499072258572e-97
"LOC107000414",3.03296456270813e-100,2.72552995101251,0.253,0.337,9.09889368812439e-97
"PTPRM",1.40976250971653e-99,2.83857779282156,0.194,0.272,4.2292875291496e-96
"MOK",1.56190584555027e-99,5.30177200786569,0.325,0.447,4.68571753665082e-96
"ZDBF2",3.37228656714654e-99,0.645814969036816,0.368,0.491,1.01168597014396e-95
"USP54",7.05228121003357e-99,1.99832675688889,0.211,0.261,2.11568436301007e-95
"GIMAP2",7.56362796079881e-99,5.45446387060931,0.291,0.398,2.26908838823964e-95
"KYAT3",8.40125733750969e-99,0.572509265838565,0.282,0.39,2.52037720125291e-95
"MAPK8IP1",8.73385018941382e-99,2.86871548480899,0.299,0.4,2.62015505682415e-95
"HECW2",1.25737556081986e-98,4.59492235174523,0.275,0.38,3.77212668245959e-95
"CLUAP1",1.73357320977808e-98,4.01773946478092,0.242,0.345,5.20071962933424e-95
"RAD54B",1.9367800537674e-98,2.49603727038758,0.261,0.379,5.81034016130219e-95
"CITED2",2.809509285626e-98,2.05125111048534,0.28,0.385,8.42852785687799e-95
"DHTKD1",3.25601514396812e-98,4.65224024134539,0.269,0.382,9.76804543190437e-95
"NFIA",6.56956026495244e-98,1.88854126902293,0.3,0.374,1.97086807948573e-94
"LOC114679403",8.24201392596572e-98,6.53270001298062,0.272,0.388,2.47260417778971e-94
"SLC24A3",8.54482599020344e-98,3.21129912020056,0.17,0.183,2.56344779706103e-94
"ETFA",1.97386560296381e-97,1.28684328869784,0.328,0.399,5.92159680889142e-94
"PPAT",4.18580323528109e-97,6.22753568070351,0.31,0.422,1.25574097058433e-93
"LRP11",9.39563999659091e-97,7.37860455435113,0.179,0.264,2.81869199897727e-93
"BORCS5",1.39007591817423e-96,0.585695690758383,0.306,0.391,4.17022775452269e-93
"FANCI",1.58269928319385e-96,1.30870298626982,0.284,0.345,4.74809784958156e-93
"LOC114680359",1.95353575329622e-96,4.45341082856652,0.29,0.419,5.86060725988866e-93
"OGFOD1",2.16944960406006e-96,2.01499188874162,0.321,0.434,6.50834881218017e-93
"KPNA2",3.74728084993461e-96,0.916058734549778,0.285,0.397,1.12418425498038e-92
"CTSW",4.33155893468026e-96,1.5733929932547,0.202,0.265,1.29946768040408e-92
"CASP4",4.77140110147841e-96,6.69504342778546,0.293,0.393,1.43142033044352e-92
"IFT52",8.42022412441341e-96,1.29316936221954,0.311,0.418,2.52606723732402e-92
"SNAP23",2.3433338097121e-95,0.556452781425618,0.294,0.382,7.0300014291363e-92
"IL1RAPL2",3.01474936195061e-95,4.434512145683,0.237,0.327,9.04424808585183e-92
"SLC38A6",3.27757294932678e-95,3.56583523518135,0.292,0.367,9.83271884798035e-92
"CYP2R1",4.19297027308925e-95,4.80044737947105,0.282,0.404,1.25789108192678e-91
"ROBO2",5.41332814232235e-95,1.50946842966752,0.208,0.287,1.6239984426967e-91
"ERCC8",7.18659569584143e-95,1.37447812943433,0.355,0.455,2.15597870875243e-91
"LOC114675520",8.31576912999108e-95,2.52377093847453,0.321,0.43,2.49473073899732e-91
"LOC701826",8.84365715842655e-95,6.33181935960676,0.177,0.23,2.65309714752796e-91
"SLC7A1",1.08714691255677e-94,2.37315710764747,0.3,0.38,3.2614407376703e-91
"TECTA",1.37402807315124e-94,6.91942161246462,0.269,0.371,4.12208421945372e-91
"BPGM",1.74495833494014e-94,5.09104915665755,0.32,0.422,5.23487500482043e-91
"CCDC14",1.77442633855327e-94,2.0342898850814,0.289,0.383,5.32327901565981e-91
"SPATA6L",1.78829021374156e-94,5.46883719666904,0.331,0.45,5.36487064122469e-91
"SEC14L1",2.20759124068795e-94,1.04442073653835,0.213,0.268,6.62277372206385e-91
"ARHGAP11A",3.27063939659985e-94,3.95087875351731,0.184,0.227,9.81191818979955e-91
"ZNF10",3.86621129328016e-94,3.97695441833597,0.26,0.352,1.15986338798405e-90
"LOC114677484",3.97035513873637e-94,1.08068774203921,0.324,0.432,1.19110654162091e-90
"PALB2",4.5318686634338e-94,2.04439938169138,0.256,0.354,1.35956059903014e-90
"HDHD2",8.3262022586932e-94,4.81217187510391,0.358,0.458,2.49786067760796e-90
"LOC100424819",9.88297920449999e-94,1.85971077636684,0.161,0.174,2.96489376135e-90
"NFIX",1.17055130229249e-93,4.52808900962006,0.282,0.385,3.51165390687748e-90
"INTS12",1.44120297393579e-93,4.99693584706986,0.281,0.405,4.32360892180738e-90
"XKR6",1.68153513273067e-93,2.10835950355205,0.155,0.18,5.04460539819201e-90
"LOC714265",2.77934051568322e-93,5.8677687152022,0.277,0.367,8.33802154704966e-90
"PAXIP1",2.79724319560621e-93,1.575356537585,0.375,0.476,8.39172958681863e-90
"USP49",2.86084173033244e-93,5.44589823656951,0.281,0.406,8.58252519099732e-90
"ASNS",4.82091401798525e-93,5.00016573937011,0.318,0.423,1.44627420539557e-89
"DTD1",4.84720909209193e-93,1.8867302646237,0.282,0.369,1.45416272762758e-89
"CNTNAP2",5.79914156212291e-93,4.5455830063287,0.16,0.208,1.73974246863687e-89
"SLC7A9",6.31000821521619e-93,2.6527627112925,0.337,0.446,1.89300246456486e-89
"SAMD4A",6.44436660934106e-93,2.12473193778844,0.196,0.238,1.93330998280232e-89
"ACOT13",1.0528538411231e-92,2.90767032665685,0.304,0.423,3.1585615233693e-89
"ATP7B",1.23321381849961e-92,4.14750447940831,0.326,0.44,3.69964145549884e-89
"C2H3orf33",1.80417901249962e-92,1.65627814079996,0.328,0.45,5.41253703749886e-89
"CABYR",2.21479910696905e-92,5.70265783295894,0.284,0.358,6.64439732090715e-89
"C14H11orf54",3.6224526781942e-92,4.76506879113098,0.254,0.372,1.08673580345826e-88
"KLF8",3.68125320297928e-92,4.7060706774385,0.289,0.366,1.10437596089378e-88
"FLYWCH1",4.63744305255325e-92,-0.874969049159798,0.324,0.428,1.39123291576598e-88
"LOC114678815",7.31580858113654e-92,1.04869882979426,0.326,0.432,2.19474257434096e-88
"TNF",7.69118151728277e-92,3.94608841090423,0.233,0.294,2.30735445518483e-88
"SLCO4C1",1.01503176865456e-91,5.53761105440572,0.301,0.376,3.04509530596369e-88
"BARD1",1.09789175568184e-91,5.32974472393021,0.185,0.227,3.29367526704551e-88
"PIN4",1.29463516625539e-91,1.81064147367248,0.288,0.394,3.88390549876616e-88
"LOC106992872",1.4387171123056e-91,3.40101197615241,0.372,0.489,4.3161513369168e-88
"DUSP2",1.57799627027957e-91,2.42342514338246,0.234,0.292,4.73398881083872e-88
"MCM8",1.66486150662573e-91,4.4660367402425,0.289,0.41,4.99458451987718e-88
"PTCH1",1.71863786512438e-91,6.10824576499208,0.406,0.484,5.15591359537314e-88
"PRELID2",2.2257033752016e-91,5.0524050277865,0.351,0.445,6.67711012560479e-88
"TESK2",2.49137006863584e-91,-0.269316320169514,0.26,0.345,7.47411020590753e-88
"LOC114674738",3.04204753519044e-91,2.15767887343251,0.32,0.431,9.12614260557132e-88
"PHLDB2",4.86578448002044e-91,4.65179836730664,0.239,0.32,1.45973534400613e-87
"HSF2",5.07985711097584e-91,3.50530119558893,0.276,0.364,1.52395713329275e-87
"TG",6.32068294159574e-91,4.72449607014573,0.312,0.398,1.89620488247872e-87
"LOC114673202",6.9237627590979e-91,3.46454952390266,0.258,0.358,2.07712882772937e-87
"CENPF",1.25664219347549e-90,3.65826275092612,0.224,0.268,3.76992658042648e-87
"LOC707459",1.36142787005782e-90,2.13670010335574,0.258,0.359,4.08428361017347e-87
"SGTB",1.37361386283876e-90,7.12928594213983,0.266,0.344,4.12084158851628e-87
"SSX2IP",2.02526676980611e-90,3.73205885843345,0.269,0.367,6.07580030941834e-87
"LOC114677064",2.05765949896021e-90,3.52868626980876,0.142,0.149,6.17297849688063e-87
"LANCL2",2.20953157390817e-90,0.740471630730507,0.263,0.356,6.62859472172452e-87
"AP4S1",2.47844579102379e-90,3.02637229425495,0.265,0.36,7.43533737307137e-87
"GCSH",2.60501575868893e-90,1.2004698321572,0.38,0.455,7.8150472760668e-87
"AFF2",3.51490818995555e-90,6.05120882785065,0.186,0.234,1.05447245698667e-86
"ATPAF1",3.52543193896297e-90,2.26573208175107,0.28,0.38,1.05762958168889e-86
"FAM162A",7.00722687405864e-90,1.89140129968533,0.3,0.416,2.10216806221759e-86
"ZSWIM5",1.02558193461125e-89,3.53473173745312,0.299,0.406,3.07674580383375e-86
"LOC106999404",1.12800405874474e-89,3.43113201371771,0.214,0.306,3.38401217623422e-86
"CEP57L1",1.39852227051031e-89,3.47171524568459,0.316,0.421,4.19556681153093e-86
"CLIP2",1.85415781050991e-89,2.86060234127343,0.199,0.254,5.56247343152973e-86
"CCDC138",2.39845173263351e-89,6.56686073486203,0.24,0.334,7.19535519790053e-86
"LINS1",4.93458234489492e-89,3.13728806172369,0.299,0.384,1.48037470346848e-85
"URB1",6.23152437031353e-89,2.87466352252369,0.265,0.331,1.86945731109406e-85
"TXNDC12",8.41471663072349e-89,-2.2812811931891,0.257,0.362,2.52441498921705e-85
"NSUN6",9.68794946967623e-89,3.45076169723822,0.209,0.267,2.90638484090287e-85
"SLC29A3",1.44667991906639e-88,3.76504861267417,0.274,0.381,4.34003975719918e-85
"VWA3A",1.48498958128929e-88,5.44793710879087,0.261,0.345,4.45496874386786e-85
"SIRT5",1.70531208819427e-88,1.88654866876092,0.263,0.372,5.1159362645828e-85
"ATF3",1.85827247114916e-88,0.599529771225641,0.202,0.255,5.57481741344748e-85
"ZFP64",2.23995636826384e-88,2.48351053692962,0.296,0.388,6.71986910479153e-85
"DNAJC6",3.32565129355327e-88,5.37426798857223,0.246,0.36,9.97695388065982e-85
"LOC100426750",3.72987971432844e-88,5.81569089023032,0.285,0.376,1.11896391429853e-84
"NBDY",3.97703316065338e-88,2.35544918440256,0.301,0.377,1.19310994819601e-84
"LARGE1",5.13237253579591e-88,3.67258215097866,0.234,0.289,1.53971176073877e-84
"DPY19L1",5.18413911418626e-88,1.29035309054208,0.273,0.356,1.55524173425588e-84
"ETS2",5.21454294846703e-88,8.02585574682185,0.289,0.376,1.56436288454011e-84
"VIPR1",5.83205897927282e-88,5.23392313913967,0.331,0.411,1.74961769378185e-84
"ZNF540",7.29585182526462e-88,3.93800772223577,0.321,0.418,2.18875554757939e-84
"NTPCR",9.15301802938049e-88,3.40495661392686,0.29,0.372,2.74590540881415e-84
"PRPF18",1.05705884962899e-87,-0.743998733147008,0.263,0.339,3.17117654888697e-84
"SNX16",1.07693493017547e-87,6.53199547495532,0.35,0.474,3.2308047905264e-84
"LOC106997876",1.35188839497671e-87,5.949261082716,0.338,0.461,4.05566518493014e-84
"ARG2",1.35862020530884e-87,1.12991465514355,0.304,0.422,4.07586061592652e-84
"POLD3",1.70218247689763e-87,1.43034274813032,0.321,0.405,5.10654743069288e-84
"ADCY3",1.71711720998472e-87,4.44065628293893,0.263,0.33,5.15135162995417e-84
"LOC107000097",2.43477849351873e-87,2.44097909687022,0.307,0.402,7.3043354805562e-84
"SLC36A1",2.4751757528012e-87,1.5948353908522,0.311,0.417,7.4255272584036e-84
"MYB",5.66605080234069e-87,3.81617156331659,0.233,0.275,1.69981524070221e-83
"SFXN4",6.84577152808115e-87,0.90225691064634,0.249,0.329,2.05373145842435e-83
"MPP6",7.65369449183002e-87,5.40605050396827,0.174,0.226,2.29610834754901e-83
"ACOXL",8.13969622862287e-87,4.58367469578816,0.268,0.336,2.44190886858686e-83
"MTRF1",1.20396407847219e-86,1.62259462301727,0.279,0.369,3.61189223541656e-83
"HMGN3",1.41396402717225e-86,3.49021121029049,0.166,0.252,4.24189208151676e-83
"BCL6",1.42186076497716e-86,0.273321550512295,0.209,0.23,4.26558229493147e-83
"DNAAF5",1.57990677716883e-86,3.27049633756083,0.339,0.439,4.73972033150649e-83
"TATDN1",1.71104552534077e-86,1.51182615969989,0.285,0.381,5.13313657602232e-83
"LOC106999081",2.05473660182994e-86,2.67958868132684,0.349,0.455,6.16420980548982e-83
"MTBP",2.71171199429897e-86,2.86424825837986,0.277,0.379,8.13513598289692e-83
"LOC114678928",3.69008684255602e-86,3.7231767420096,0.308,0.418,1.10702605276681e-82
"KALRN",4.55346170985874e-86,0.249390805663392,0.201,0.244,1.36603851295762e-82
"DAB1",4.9714389798033e-86,4.33439775746283,0.251,0.349,1.49143169394099e-82
"SMC2",5.26805433415893e-86,2.24132015680712,0.23,0.3,1.58041630024768e-82
"SAT1",8.82762614102396e-86,4.80322874065813,0.194,0.224,2.64828784230719e-82
"PLXND1",9.38295706286116e-86,1.21810664096778,0.104,0.126,2.81488711885835e-82
"PPEF1",9.93691884260828e-86,4.25833021696217,0.305,0.38,2.98107565278248e-82
"LIG1",1.26920869391375e-85,2.71040587173263,0.203,0.257,3.80762608174124e-82
"FAM222A",1.44995308347856e-85,4.02816874629232,0.265,0.39,4.34985925043568e-82
"SCYL3",1.47681753084352e-85,0.91969113647334,0.335,0.417,4.43045259253055e-82
"NCEH1",1.51129127324964e-85,4.43622451665941,0.26,0.376,4.53387381974891e-82
"TSPYL5",2.18699462488713e-85,7.40026771485649,0.154,0.196,6.56098387466139e-82
"ESD",2.37414484083804e-85,2.71523271288746,0.299,0.401,7.12243452251412e-82
"PACRGL",2.47981395434189e-85,1.46582960173943,0.296,0.383,7.43944186302568e-82
"LMO7",4.42146820024926e-85,6.92851858265042,0.237,0.291,1.32644046007478e-81
"ARHGEF12",4.55745894351372e-85,3.20553116077676,0.25,0.3,1.36723768305412e-81
"IKZF4",4.83446634960661e-85,6.57591731560193,0.278,0.359,1.45033990488198e-81
"CREB3L2",4.95607689546555e-85,2.49082639433648,0.201,0.246,1.48682306863966e-81
"UBE2Q2",5.58036584519474e-85,1.56336179759184,0.304,0.393,1.67410975355842e-81
"PLEKHA5",6.33951983994481e-85,1.10975861404162,0.339,0.411,1.90185595198344e-81
"NEMP2",7.72409796038021e-85,1.99011993758582,0.271,0.341,2.31722938811406e-81
"QPCTL",1.07761646969212e-84,5.42000761380638,0.322,0.446,3.23284940907635e-81
"LRRC6",1.11462015870138e-84,3.82617120650519,0.33,0.474,3.34386047610415e-81
"ZFP69",1.14471747706504e-84,4.09017715783659,0.336,0.44,3.43415243119511e-81
"MAP7D2",1.22570932766171e-84,1.29183969861669,0.263,0.36,3.67712798298512e-81
"SIPA1L2",1.29721147185402e-84,4.87245429053817,0.356,0.422,3.89163441556207e-81
"SNX5",2.28604180331745e-84,-0.432652053051482,0.168,0.179,6.85812540995235e-81
"SH2D2A",4.50329680501793e-84,4.90823451251632,0.297,0.394,1.35098904150538e-80
"PRDM8",4.77326013950981e-84,1.51868331904314,0.269,0.36,1.43197804185294e-80
"TUBA1A",5.55690595690395e-84,3.81208023957565,0.323,0.44,1.66707178707118e-80
"SLC37A3",5.95287614633679e-84,-0.717028967856203,0.289,0.379,1.78586284390104e-80
"SLC35F2",6.46576725096614e-84,6.66100341549214,0.263,0.363,1.93973017528984e-80
"NAPB",6.70072848621451e-84,5.08220428587761,0.257,0.339,2.01021854586435e-80
"LOC107000939",6.70754724916537e-84,1.02254747673121,0.338,0.449,2.01226417474961e-80
"LOC114679643",9.21915882125043e-84,1.9971908103127,0.258,0.316,2.76574764637513e-80
"CEP70",1.07739729456397e-83,0.337092156095414,0.293,0.375,3.2321918836919e-80
"LOC106994723",1.16324906625795e-83,5.64566409390956,0.356,0.483,3.48974719877384e-80
"ANKMY1",1.31258821546741e-83,5.69411125295854,0.266,0.376,3.93776464640224e-80
"C1H1orf159",1.33185423094317e-83,1.08958006136491,0.292,0.381,3.99556269282951e-80
